ID_Karyawan,nama_karyawan,departemen_karyawan,jabatan_karyawan,gaji_karyawan
35a1c324-decb-4dc8-a262-fbaab14c5375,Sydney Hunter,Geoscientist,Operational researcher,5106.18
33b84cbe-553d-48f7-9c18-5de0611641b4,Alison Jackson,"Psychologist, prison and probation services",Dispensing optician,4730.73
b2adecc2-07df-487d-9cd3-46480c9ac67b,Danielle Rangel,"Administrator, arts",Stage manager,3459.38
faf3418f-cc2c-45a6-a3cf-ab6d89335375,Ellen Fitzpatrick,"Engineer, manufacturing",Recruitment consultant,4264.26
778f0764-13b2-4887-ad5d-a748589bc7fa,Christopher Chung,"Producer, radio","Designer, industrial/product",8182.43
a063ebab-00bd-4a8e-8c86-6d67d081c3bc,Andre Peck,"Administrator, local government",Agricultural engineer,6730.4
04742436-f7f5-4b68-9b10-05edef129f03,Gregory Lynch,Theme park manager,Insurance broker,3801.08
ebd7832a-f7d6-4a23-b04a-97915cb13811,Amanda Sweeney,"Engineer, aeronautical","Engineer, broadcasting (operations)",5693.07
42c32338-8235-4037-8f93-4e24a462442b,Joe Kelly,Theatre director,Geophysicist/field seismologist,9893.05
03344546-4938-44a8-9dc9-be778aff7e32,Leslie Alvarez,Office manager,Press photographer,5874.81
ef952d7b-b9b0-45f1-8bb2-d2ff2157deae,Michael Bell,Systems analyst,"Production assistant, radio",8649.07
197a63f4-36c5-4f4c-a0ef-f36f7ceecdff,Mrs. Leslie Jones DVM,Wellsite geologist,"Designer, interior/spatial",5527.93
53f777e7-4678-4111-851d-216790c44b9b,Dr. Karen Miller,"Surveyor, building control",Marketing executive,3743.58
109851c8-d4f9-46e9-848f-830ae58d7df2,Brent Butler,"Engineer, mining",Physiological scientist,5543.47
e3718223-57c7-4813-97be-7b64c9717dbf,Juan Chang,"Nurse, mental health",Banker,9788.56
6a258318-e76b-4199-b56e-1f80d0ce7bf2,Brian Murphy,"Accountant, chartered public finance",Fisheries officer,6093.21
988795ec-4c87-4da0-879e-def0a9419056,Paul Keith,"Engineer, chemical","Programmer, systems",8673.33
d6b86fa5-b90e-4cf7-9e24-144366c1fd81,Monique Gonzalez,Health and safety inspector,Sales executive,7614.39
a61a9e85-412d-470a-9f41-a1eaaf96d019,Patrick Haley,Scientific laboratory technician,Chief Technology Officer,5677.68
f5e59ce7-b085-457f-acf3-5844b10c7bc2,Lisa Moran,Emergency planning/management officer,"Programmer, multimedia",7007.79
280018fa-b870-45b6-b8d0-173cef3ccfe5,Rodney Brooks,Retail merchandiser,"Accountant, chartered",8196.4
6521614a-f177-4db7-8a2d-7e8a0fbf52ad,Steven Cruz,Marketing executive,Immigration officer,5469.86
76a7ef95-18c5-4da9-b575-afbfcca23687,Timothy Walker,"Engineer, communications",Sales executive,9535.15
459b1c03-d8e9-470d-8db0-c617e7daeeb2,Sandra Gibson,Chartered accountant,Hydrologist,4596.88
c4036bc6-b142-43f8-87bb-d523bb01d4c5,Timothy Perez,Dispensing optician,Phytotherapist,8280.93
d870d875-504c-477f-8ad4-8fc72f12502e,Ray Adams,"Pilot, airline",Heritage manager,5075.79
cb43595c-6db6-47a5-b8ec-18e23fe3a4eb,Melinda Lee,Sports therapist,Tree surgeon,9302.89
d307ad04-8aef-4b15-a538-3969a36340e1,Robert Christensen,Accounting technician,Warden/ranger,6214.83
a2bd3dc3-8a08-4c76-af91-912eb0941be2,Suzanne Burnett,Clinical embryologist,"Accountant, chartered certified",8516.86
23825ef3-cc11-4ffa-a399-eba02dfc72be,Patrick Martinez,Event organiser,"Research officer, government",7089.29
15637e47-44c3-4790-8ea4-f470365ddf28,Mackenzie Russell,"Engineer, aeronautical","Teacher, adult education",3086.47
6e1c48bd-9a9c-40f6-9a4f-face2447f7f2,Gilbert Schwartz,Office manager,Public house manager,4960.43
0360316a-8079-4663-ad4f-a0ac5d274a37,Mary Rogers,Management consultant,"Designer, graphic",9603.85
d543d3cb-34d0-45d7-8a5c-dd234c69afbe,Victoria Simmons,Clothing/textile technologist,Transport planner,9203.04
749073ee-3dfc-4067-92de-35ff0f1091e2,Michael Grant,Civil Service fast streamer,"Teacher, early years/pre",8883.17
e2e98eb9-a969-4d54-bdb5-d447f7120f51,Tina Carter,"Designer, exhibition/display","Runner, broadcasting/film/video",8842.51
f46b3b1d-dec6-4fa9-b8aa-b7bc56a7e6b3,Christopher Olsen,Ceramics designer,Airline pilot,3353.74
7f188136-9336-4f6b-a0d1-ea4be48f8e41,Allison Johnson,"Conservator, museum/gallery","Buyer, retail",7849.24
f1d31e26-5fa5-468a-b07d-020132877f26,Andrea Carter,"Engineer, land",Psychiatric nurse,4396.48
a5cbd27b-004e-4f23-91c1-8200a10485da,Angela Jackson,Ophthalmologist,Musician,3431.75
f6d0fec6-a867-4e78-8a88-35b534a6199e,Heather Mcdaniel,Probation officer,Acupuncturist,7825.97
65724890-1abe-4103-b1a8-ed8f89ba18c8,Rebecca Gibbs,Public relations officer,Risk manager,7558.38
d4f8eb69-78c3-440d-ac13-466f5792a595,Brian Stafford,Mental health nurse,IT sales professional,8216.85
d99f754c-e3d8-44c2-a06b-9446868dccaf,Scott Turner,Landscape architect,International aid/development worker,3314.87
85ea28ef-4446-4ff8-82f7-7e3cc8df1639,Kenneth Richmond,Herpetologist,"Editor, commissioning",7001.75
ad5a4be5-f86a-4d72-b639-f7b52cf86122,Jennifer Oconnor,Academic librarian,"Research officer, trade union",4434.24
f35025aa-1791-4f83-ac0e-4cf380b8c1b0,Christine Johns,Advertising account planner,Arboriculturist,3845.07
c92ab4a4-80aa-4d9a-895a-375d6127e54a,Megan Barnes,Gaffer,Broadcast presenter,5311.64
b91994eb-e403-4290-8b76-ad24d626deaf,Gregory Lee,Location manager,"Research officer, political party",7310.54
0d4a5f7e-a5f0-48e3-9f0c-ae4c0d885bd8,Phillip House,Set designer,"Engineer, automotive",7840.14
fd6e8dc2-3c82-4483-9100-b997cc9f1d0c,Billy Krueger,"Scientist, product/process development",Electronics engineer,4946.74
cb219b13-6c68-48b1-a5c6-fab21719cd69,Nicholas Wilson,Dietitian,"Psychologist, prison and probation services",9044.16
8f86f88f-4bdc-4fd8-8610-a2c8f0301657,Erica Page,Health and safety adviser,"Librarian, academic",4980.47
b2cd2913-37b1-4c7a-9fe3-9d72b7224299,Sabrina Howard,"Therapist, art",Customer service manager,9321.17
2a016335-09ef-43f6-9847-605e579c8972,Barry Gilbert,Musician,"Engineer, biomedical",3934.45
9646c4fa-f170-489e-8fa7-576077cae483,Renee Smith,Stage manager,"Engineer, drilling",9414.08
e52c31e4-a0b9-4fa4-b666-c697a1e0d3fb,Pamela Weaver,Chartered certified accountant,Adult nurse,9840.1
8503a672-46bb-4bef-ac47-da9e4c8fc983,Jacqueline Sandoval,"Accountant, chartered public finance",Medical physicist,5052.28
dca07160-05f6-4d55-a2b1-c200eaff4242,Kristin Ramirez,"Pilot, airline",Textile designer,3623.2
face62da-5679-4465-b7cb-8e9c8794c12f,Miss Patricia Campbell DVM,Actuary,Editorial assistant,9991.31
1a794bc9-aab9-40a8-86f6-fcf8db9156b4,Jay Goodwin,"Sales professional, IT",Ambulance person,3693.97
2a266bd0-fe17-41e6-a43b-1a023157cb20,Robert Vincent,"Scientist, research (physical sciences)","Scientist, research (maths)",5540.33
f584d62a-0311-456d-ac87-7c0b5b879413,Marcus Huang,Chief Financial Officer,"Lecturer, further education",3191.86
81062587-d2bd-44f9-8e8d-902c2a7589cc,Bryan Horn,"Buyer, retail",Social worker,3449.91
a0b4cf23-ba18-4af3-95ef-82bfa5316c15,Teresa Crane,"Teacher, special educational needs",Product/process development scientist,9630.91
83664065-9e04-4963-820f-af59a1fafb30,Steven Taylor,Radio producer,"Therapist, sports",6664.38
16e30a0c-9b7e-4517-949a-390f4e29f5e8,Leslie Clark,"Nurse, mental health",Private music teacher,5863.9
5e23c8ab-da04-464d-860f-98f7825ff928,Mary Simmons,Farm manager,English as a foreign language teacher,9484.63
6bc6ae1e-419a-432c-8a2c-ec17cf8a8cd1,Steven Vaughn,Market researcher,Pathologist,5248.96
9537bcb0-8935-4a5e-b1ac-7a43fb307ba5,Sarah Long,Dietitian,Logistics and distribution manager,3899.22
7d6672ec-52bf-467d-82a2-c0074ba257ad,Sara Nelson,Health service manager,Water quality scientist,5649.52
0384fd2c-8e03-4097-b7b9-6277d822cfc7,Renee Gregory,Government social research officer,Tourist information centre manager,9788.76
7f871896-4feb-47f8-8c68-bdab2ed96bac,Christina Smith,"Surveyor, land/geomatics",Volunteer coordinator,6769.78
e512fa1d-165d-458b-8d7e-8ac178900ab5,Danielle Sanchez,"Conservator, museum/gallery",Fashion designer,3362.46
4d043f82-1d63-427e-b537-f3780bf4633f,Brian Hernandez,"Designer, multimedia",Housing manager/officer,7600.09
eeb67403-b532-41a6-8bdf-d97ab3714885,Briana Duran,"Designer, industrial/product",Translator,9735.48
b7cbc124-711c-4c28-884d-e3a268ef7a0c,Kelsey Stevenson,Equality and diversity officer,TEFL teacher,3355.77
f5921d3f-9bdb-4e0e-b8ee-68cf51fc2fe6,Mary Moody,Operational investment banker,English as a second language teacher,9767.13
c36bac7e-1707-4307-a198-4ef70ed580da,Shawn Hubbard,Financial adviser,Risk manager,6149.68
0cdc5fb2-cb0c-4592-8db4-a6f2efef733c,Gabrielle Jackson,"Presenter, broadcasting",Insurance underwriter,9100.99
46a48754-cb8b-45b0-986c-f50038151942,Wanda Tyler,Ecologist,"Psychologist, educational",5574.47
7686089a-61e7-420d-b288-08ac47f688c5,Steven King,Building surveyor,"Librarian, public",8178.61
161bf68b-148e-496f-a882-6c34a34d2148,David Davis,Energy engineer,"Scientist, clinical (histocompatibility and immunogenetics)",5656.88
95c6a98d-7f08-4aec-9b95-37599f0256f3,Kent Simon,Barrister's clerk,Arts development officer,3509.7
b810a4fb-7a8e-4e9c-89d9-9a2a77edf150,Joseph Walsh,"Restaurant manager, fast food",Corporate treasurer,6784.3
02c50da3-272b-4a30-be09-a4e6941e8427,Margaret Phelps,Geographical information systems officer,"Investment banker, operational",8568.03
aeae455b-eaa1-4641-943e-441302402626,Lisa Massey,"Research officer, government",Location manager,8755.15
05817459-0700-4d9a-a79e-3027ece52869,Johnny Stevens,Clinical embryologist,Catering manager,7512.7
6b34d68c-6ff4-4cfa-b3e2-befd2f5d58b4,Michelle Dunn,Land,"Surveyor, mining",3431.67
58f3fa36-1f71-40ed-94db-6e7f6be5bf18,Alexander Mcclure,Geographical information systems officer,Advertising account executive,8007.28
fd0469dd-5880-496a-b869-849f11104dab,Kevin Collins,Amenity horticulturist,Probation officer,4428.04
b6a06ae8-bbf7-4699-b985-b32f79e57a43,Robert Barnett,Ecologist,"Social research officer, government",9259.75
e4beb255-36c8-4fe1-90db-3faca34754c1,Dennis Singh,Armed forces operational officer,Advertising account executive,9564.67
1e8c89ae-530d-4943-8902-39876ba42d0d,Bryan Kelly,Speech and language therapist,Meteorologist,6150.12
38ca648a-04cf-4fcf-824a-c3ea5cf89050,Nicholas Maldonado,Horticultural therapist,Ship broker,7506.66
38e698e0-a127-4e3e-bb12-643870a94304,Sharon Young,"Engineer, energy","Psychologist, forensic",5635.48
56ba6958-b7a5-4019-9d8b-edabbf4fe06c,Angela Brown,Risk analyst,Public relations account executive,4419.84
277b1c96-2c9d-4826-b523-f282f5003ec4,Katherine Kelly,Geophysicist/field seismologist,Equities trader,5085.44
6473551c-ef0c-4159-97e9-8231b649b034,Michele Howard,"Editor, commissioning","Administrator, Civil Service",3041.8
09d52464-0d7d-4f47-9f70-546f841d8703,Devon Morris,Race relations officer,Mining engineer,8819.83
39ab7691-d164-4cf0-848b-449d3f8e99a3,Robert Butler,"Scientist, research (life sciences)","Editor, commissioning",4705.01
2bcb64cf-8398-4445-aca5-6708ee089622,Linda Price,Jewellery designer,"Psychotherapist, child",7695.55
c14c3894-9ff8-4231-addf-4fa8df73cee9,Angela Hughes,Armed forces operational officer,Tax inspector,9162.14
e2b27aa1-0e6a-4208-8274-cdf49aea7135,Traci Johns,Jewellery designer,Herbalist,9082.44
cc1507a4-dc50-4071-a4bd-4ea9aaaf07e8,Peter Pham,Energy manager,Civil Service administrator,7091.84
32dd5e0c-1749-4b83-aaa6-3088e0091f2f,Felicia Hines,Historic buildings inspector/conservation officer,Agricultural engineer,5386.54
774490dd-9c44-4cdb-9985-8225155e8470,Cynthia Carney,"Administrator, Civil Service",Geochemist,6702.59
21dc4756-4513-49c0-a3a3-669df58b231b,Jessica Vance,Paramedic,Wellsite geologist,3686.16
62706beb-1dad-4832-b05b-31dab5c56b20,Luke Peters,"Optician, dispensing","Administrator, charities/voluntary organisations",9311.99
b76bea7a-ee17-41f4-b564-8b05e1e14cb2,Jose Grant,"Designer, exhibition/display",Consulting civil engineer,3321.8
3bee539b-08d0-4f2b-9067-d6d986f82633,Jared Ortega,Clinical psychologist,Marine scientist,9605.31
1d2c412f-665a-459e-9b8e-a0b5e2da2eb9,Nathan Lara,Therapeutic radiographer,Clinical research associate,8529.89
6c58e8b2-2476-4cae-a937-5f22aa2b4cba,Christopher Avila,IT trainer,"Geneticist, molecular",8281.19
76ef0794-9e76-428e-9ab6-43da6c2df15d,Whitney Chandler,Clinical molecular geneticist,"Solicitor, Scotland",7001.73
ccf1d9b0-3072-4c93-bd23-8b1c986d9d82,Marie Hernandez,"Psychologist, clinical","Accountant, chartered certified",8806.26
02e372ef-ed3e-492b-a7da-4530d4d3f5c6,Linda Fowler,Diplomatic Services operational officer,Broadcast journalist,9806.32
bbbd86a7-6a44-4f2f-9af9-7d3fc7448c36,Kenneth Armstrong,Chiropractor,Tax inspector,7690.4
3f07dcde-a973-498a-9b02-590aedecc272,Hannah Weiss,"Engineer, manufacturing systems","Designer, fashion/clothing",3631.01
03b22530-d454-43d5-9d66-d4ae6e12c7e6,Sherri Collins,Physiological scientist,"Scientist, audiological",8917.31
7824764e-3961-4104-8f6b-990c5756618e,Richard Davis,Personnel officer,"Scientist, clinical (histocompatibility and immunogenetics)",6230.91
6fbce2a7-adef-4008-8c11-b913187e2348,Cynthia Combs,Manufacturing engineer,Speech and language therapist,6162.01
36d6cd74-9a1b-4929-b2fb-bb267a8b747c,Laura Glover,Chief Financial Officer,Office manager,6715.02
08f8005f-9a0c-4064-81de-9896814749b3,Susan Brewer,Holiday representative,"Administrator, Civil Service",8108.7
5f93e194-dc5b-44d9-8bc8-aa73cc5aa2dd,April Smith,Land/geomatics surveyor,"Biochemist, clinical",4222.17
11918577-ad73-45f6-8ff5-2f13d79454ce,Scott Townsend,Theatre manager,Ergonomist,7625.27
df13ce3b-1d42-4565-8ea7-876340767bd9,Mr. Brian Hall,Chartered public finance accountant,Architectural technologist,7515.05
61013800-c3ee-46f0-b795-4fdfc1ecc704,Alyssa Silva,"Engineer, materials",Interior and spatial designer,7927.71
8895a8b0-94f1-4698-8af1-eafe51151f77,Stephanie Cohen,Electronics engineer,"Development worker, community",6432.71
e20fc0da-1081-40c9-953b-9b27468395f5,Kathleen Evans,Prison officer,Recruitment consultant,3263.43
84affa8d-8e3f-4285-99de-ddfc7532062c,Tammy King,Animal technologist,Field trials officer,8588.4
36020688-980d-48d9-af90-22a293b2520c,Kelsey Barton,Control and instrumentation engineer,Science writer,5923.21
475eb77b-3218-4012-b40f-2e895598daf6,Amy Neal,"Programmer, systems",Surgeon,6037.08
accc1532-4f10-4bef-b8e0-81204034703b,Antonio Miller,Environmental consultant,Chief Technology Officer,6548.0
e0247a07-e78d-4fec-9777-09bdc3c56b31,Dr. Kevin Galloway,Leisure centre manager,Dispensing optician,7313.65
5243891b-6d2b-4122-85c0-c59cd2f44a07,Joshua Ramirez,Pathologist,Leisure centre manager,3513.44
8d8c89d5-00dd-460c-baa9-e37cae2693f5,Dr. Robert Kemp,Health promotion specialist,Chief Strategy Officer,9663.15
e47b74cb-ccfa-4820-82cc-85386d82ce64,Tamara Watkins,Jewellery designer,Field trials officer,3922.16
5cd12ccc-284a-46b5-82a4-232b3c3f9365,Paul Dixon,Corporate treasurer,Museum/gallery conservator,3583.77
b028e433-f916-4d8b-b365-934e894b7161,Derrick Preston,Dispensing optician,Heritage manager,8938.52
6bdcf5b2-8670-4b4a-9126-beedfac2c8fc,Patrick Jackson,Data processing manager,Occupational psychologist,4449.55
f6bc2b23-b9f8-4307-9441-1a4e1c88c880,Kathleen Zimmerman,Psychotherapist,"Designer, television/film set",5563.21
f54fa17c-d2df-42a9-8a3b-e601500ddbf4,David Livingston,Careers information officer,"Designer, television/film set",7950.71
a9b8de98-846d-4e41-88ad-d16ebfe9698b,Mark Miles,"Sound technician, broadcasting/film/video",Curator,5915.07
71e957c7-28b7-402e-806a-5cb016dc1f46,Bryan Arias,Arts development officer,Environmental health practitioner,3682.55
b8dfbbfd-16ae-493b-b843-73706229c4a2,Theodore Graham,Horticultural consultant,Nature conservation officer,7057.4
03388ea7-1925-4b23-88ab-c84b26fca2a1,Kenneth James DVM,Prison officer,"Surveyor, commercial/residential",6288.03
5c0e4c9f-511b-4bae-bb7d-fc80f00d1f0c,Thomas Woods,Economist,"Psychologist, occupational",3755.61
68cf9304-cb38-468d-9390-14371155d40a,Kenneth Dawson,Dispensing optician,Regulatory affairs officer,3442.16
f1d75e1b-df2f-4fa6-bd7c-f8a23bc33eef,Brandon Molina,Senior tax professional/tax inspector,"Therapist, music",4740.87
43e315c3-2d7f-4ba3-b4bc-96cdac9f5aea,Christopher Harrell,Animal nutritionist,Medical laboratory scientific officer,8968.83
aecafd05-2bfc-4854-836e-d5327dcb8d1a,Nicole Walker,Operations geologist,Psychiatrist,9404.37
f293b7a0-558f-435f-bde3-a4bfc16dd6bb,Dr. Kathleen Vega,"Editor, film/video",Arts administrator,8280.93
73899300-f04b-4fb9-9787-4147cd355b3d,Justin Taylor,Television production assistant,Commercial/residential surveyor,6161.41
93a9a4fe-0dfc-4d36-a8de-fdcf2fb66a0f,Gabriel Wright,"Buyer, industrial",Physiotherapist,7014.29
f724b639-cfb9-4213-b2fd-3cff5427b337,Anna Jordan,"Lecturer, further education",Economist,3576.93
b2e0fcaf-9dcc-4c72-9029-5c9674e1bdaa,Veronica Gibson,Economist,Event organiser,7280.03
5f242478-b5a1-4816-a4e6-7c9c3c2a84e9,Bryan Brown,Clinical research associate,"Surveyor, insurance",7766.37
eb7f55d8-bc6b-43c9-96d4-6fc085e47035,Emily Cruz,"Therapist, music","Librarian, public",6926.04
daf1ce1c-5422-4608-9b3a-5b61f9c67aa7,William Campos,Cartographer,Telecommunications researcher,5974.14
27bd16c7-a964-448e-a3cf-0f2a9cedd7ab,Robert Miller,Horticultural therapist,Records manager,3500.04
517d729b-f309-4705-8b41-95b73f32c423,Mr. William Wright DVM,Metallurgist,Claims inspector/assessor,4701.97
c749555c-d667-4968-beb3-d09066bab5c2,Miss Denise Howard,"Scientist, product/process development",Television production assistant,7179.86
53116f3d-cab7-4a43-8b19-d7d4d0a98a96,William Mendoza,"Scientist, marine",Meteorologist,7801.88
70eb8d53-e360-4cfb-8452-ccb54a6aa3df,Morgan Watson,IT sales professional,"Engineer, building services",9649.76
a501c017-6f0d-4d26-a6e2-28a867c09965,Michael Waller,Travel agency manager,Museum/gallery exhibitions officer,7463.33
1501537e-039a-4194-81cf-18909f1b5a81,Charles Guzman,Media buyer,Chiropodist,8600.68
e10e67ac-aa4b-46b4-ae4f-84257cce28ef,Scott Brown,Chartered public finance accountant,Solicitor,9726.99
ab45b6c2-4eb3-4499-b110-482c88a76043,Edward Mclaughlin,"Designer, ceramics/pottery",Passenger transport manager,3890.35
5dd1d74c-e494-4f05-ba90-ae623a0838c4,Robert Miller,Passenger transport manager,Information systems manager,5997.01
f3ef299c-b1ea-49e0-8ec0-ff6191577d27,Stephen Small,Community education officer,Education administrator,9277.86
cab8fe97-4118-4ad6-b5e0-9353000cb7b8,Lynn Finley,Radio broadcast assistant,Education administrator,9543.18
5b180ab7-f37a-4b93-a682-c8877de75bc9,Bobby Torres,Sports therapist,Landscape architect,6949.74
f8085dbd-3c29-45fb-af40-73fd3cfa41b3,Robin Herrera,Geophysical data processor,Chief Technology Officer,9887.58
59a0ef9f-44ab-44a7-97e9-3957330cd36e,Gary Thomas,"Pilot, airline",Industrial buyer,5954.79
97a4920b-3a65-438e-865a-dce9375968c8,Joshua Smith,Architect,Public relations officer,4762.86
7eb01962-9715-4556-8bf6-d85b5a1ce585,Stacey Anderson,Magazine journalist,Hydrologist,8013.98
2671d4ea-89cf-4a80-b1bc-2b2f2d01cd12,Ruben Goodman,"Engineer, automotive",Press photographer,9377.9
ef331a05-f8e1-4eb8-b784-dee7110d2014,Natalie Williams,Technical brewer,"Pharmacist, hospital",6899.31
60849e28-d338-4011-81f0-c356e31946af,Tiffany Berry,Technical brewer,Corporate treasurer,9647.06
8ef96e37-83ae-4d78-9635-56316af54168,Frank Smith,"Scientist, biomedical",Volunteer coordinator,8725.15
acff1f61-3279-460d-86e7-d0ebe78c5244,Charles Gonzales Jr.,Broadcast journalist,Merchant navy officer,5741.93
daee397f-4514-4a6b-87c3-72a5d0f12aeb,Roberto Cox,Health physicist,Database administrator,8960.47
6244a2fb-fc8e-4753-b00b-30534c6a45b5,Joseph Johnson,Make,"Social research officer, government",6291.27
3a364f9c-489e-4a8c-91fd-5a6a99c7a0d1,Catherine Black,Counselling psychologist,Materials engineer,7808.44
2047e0e4-37ca-44d1-8aea-cb64296b27fd,Robert Wang,Sports therapist,"Surveyor, insurance",8749.95
84de0b81-dd9d-45be-a2d6-e7a3dc86216b,Kyle Martinez,"Surveyor, land/geomatics",Community arts worker,6279.02
954bb403-5846-40b1-aaee-d0e17e90eb83,David Perez,Tax inspector,Gaffer,8963.63
3e43e676-b150-4241-aae8-b641f18f1302,Mariah Shaw,Commissioning editor,Database administrator,9058.59
938466cc-ec9a-49d3-bf21-f5228d6fa8ee,Jennifer Mclaughlin,"Psychotherapist, child","Therapist, horticultural",4401.06
802c3b58-272e-450e-9e12-e31ed95e56dc,Charles Howard,Transport planner,"Designer, industrial/product",5117.6
31d06ec4-5e0e-4268-825d-dd14be07a60c,Marie Moore,Automotive engineer,"Research officer, trade union",8187.1
bd892a13-7b4f-4899-aa79-2fb83eff930f,Elizabeth Perez,Publishing rights manager,Learning disability nurse,5214.61
7c25493c-6160-402d-a820-1c3fd52bd1d7,Victor Hill,"Engineer, petroleum",Child psychotherapist,9443.69
ce8557c8-82e9-4e17-af82-dcadfdc16e04,Anthony Chavez,Financial controller,"Programme researcher, broadcasting/film/video",9340.28
9818b271-4c6b-4802-987f-ff808fd5b2f8,Patrick Washington,Waste management officer,Best boy,7607.13
337cfd08-b0f8-4c8a-9387-2cb7dd3e92a9,Timothy Anderson,"Copywriter, advertising",Armed forces operational officer,8314.27
03a6fb98-465f-46a2-9bcb-8e5422a8010c,Cody Williams,"Programmer, applications","Designer, television/film set",3617.15
c7e74f3f-bfa4-4083-b281-de462c840dcd,John White,Senior tax professional/tax inspector,Data processing manager,6920.95
f9031afe-2ecb-483f-84be-5a2640f022c6,Daniel Douglas DDS,Lobbyist,"Engineer, water",7589.97
52e54886-cf20-4b22-a68e-8de30e3f3be4,Melissa Walker,"Buyer, industrial",Armed forces training and education officer,7981.93
fc4ad334-52bb-4e99-9d0e-f27453a3c742,Nicole Allen,"Therapist, horticultural",IT technical support officer,3945.18
35726644-8e19-4f9c-a3a4-6084b3318071,Tara Gomez,Industrial buyer,Automotive engineer,5242.29
fa7483d3-00df-4f61-8b86-7b78039f6037,Shannon Chambers,Academic librarian,Agricultural consultant,6860.26
3e22368d-1fd5-43d7-acf0-e60ca000981a,James James,Banker,Brewing technologist,4132.97
79612e9a-50d7-4c5d-9097-39ae59ad2504,Brent Dennis,Geophysical data processor,Psychiatric nurse,5527.21
8302eed8-31e1-4900-863d-a1a4332e1b78,Sharon Mayer,Senior tax professional/tax inspector,Cabin crew,8256.61
c88b9894-094f-4f2d-ac73-1bb87fe46a79,James Schaefer,Futures trader,Illustrator,4323.54
bf23e8c5-c783-4233-8a1f-ec7050c23db1,Jennifer Anderson,Psychotherapist,Financial trader,6138.3
212223d0-b23c-46f5-a19d-7c451fc2ac91,Kimberly Jackson,Science writer,Clinical embryologist,5837.23
68e8e59b-4bd7-47c7-b349-3f7b64335526,Mathew Carr,"Therapist, nutritional","Designer, blown glass/stained glass",8197.74
b4fb5eb1-1501-4987-8b2d-b04da8345f12,Laura Garrett,Paramedic,"Education officer, community",3166.46
5b438b43-daef-453e-b779-7ec23f96b5a1,Thomas Decker,Research scientist (medical),Publishing rights manager,5751.06
9cef6988-ab82-4229-964f-e09e04e955a1,Marissa Ramos,Homeopath,Adult nurse,4700.15
212cf839-7941-42f8-9d6e-97459c8336cb,Keith Harris,Dancer,Chemical engineer,6409.52
84d3f04e-5c3f-4b2c-ab12-60036b87a4c2,Kevin Lloyd,Manufacturing systems engineer,Geophysicist/field seismologist,7088.89
67314d74-d28b-4f3f-bad5-14c129a102b9,Justin Miller,Management consultant,Legal secretary,4086.07
ce346698-3d51-465e-99f4-69601a80f3d2,Michael Bailey,"Buyer, retail",IT technical support officer,4233.31
ac32afd0-8c7d-447e-80f0-ec0a9ed55054,David Lam,Advice worker,Purchasing manager,7092.8
7aaf15ff-c8e9-43d1-aac7-b4d43e202ba1,Alexander Lawrence,Lawyer,"Biochemist, clinical",7902.05
5969a4ba-50fc-49ec-b094-f96038164310,Julie Ramsey,Industrial buyer,Music therapist,9302.78
e05b55ed-5cc0-445e-9ad6-b8a56534560e,Mathew Davis,"Engineer, civil (consulting)",Careers information officer,8214.17
ec77adeb-381f-4a0e-b07d-9d0bd63ba7f3,Rebecca Gray,Exercise physiologist,"Producer, television/film/video",4295.23
